uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"17c692ab-f53a-4ae6-ba6b-1b5a134ba7b3",4131,"Other","text","bash,log4j,sh","",0,1639438050,"comment","","a3554ab5-e0df-4192-8b92-90866a78c09f","intelmq_event","network","Log4j URLHaus IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1639664925
"cd4adeed-5d26-471a-af61-0b7fb7671038",4131,"Network activity","url","http://93.189.42.8/kinsing","",0,1639438051,"source.url","","b79f7a2c-00d5-41e5-b016-871aead0d64b","intelmq_event","network","Log4j URLHaus IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1639664925
"da63bda9-3359-47cf-854e-c85fd58f6c47",4131,"Other","text","offline","",0,1639438051,"status","","b79f7a2c-00d5-41e5-b016-871aead0d64b","intelmq_event","network","Log4j URLHaus IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1639664925
"1a2cc239-293b-4065-882f-c65aa9050d9c",4131,"Other","text","elf,kinsing,log4j","",0,1639438051,"comment","","b79f7a2c-00d5-41e5-b016-871aead0d64b","intelmq_event","network","Log4j URLHaus IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1639664925
"6cb9c5c3-2c73-462b-962f-ca2081d6db5f",4131,"Network activity","url","http://93.189.42.8/lh.sh","",0,1639438051,"source.url","","5a838948-4142-4ab3-972a-f191994009df","intelmq_event","network","Log4j URLHaus IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1639664925
"1703ff43-6d69-4501-bf04-558ed286728c",4131,"Other","text","offline","",0,1639438051,"status","","5a838948-4142-4ab3-972a-f191994009df","intelmq_event","network","Log4j URLHaus IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1639664925
"d2e2fef2-c9d0-498c-badd-2a7db3bf6ef2",4131,"Other","text","bash,CoinMiner,kinsing,log4j,sh,shellscript","",0,1639438051,"comment","","5a838948-4142-4ab3-972a-f191994009df","intelmq_event","network","Log4j URLHaus IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1639664925
"a883260b-bee4-4d66-b892-5da817f9be9e",4131,"Network activity","url","http://138.197.206.223/.x/xmra64","",0,1639438053,"source.url","","4c69410c-11ec-4ce5-88e7-005937261723","intelmq_event","network","Log4j URLHaus IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1639664925
"d434abcd-0225-48c9-bbec-29a2a9171c45",4131,"Other","text","online","",0,1639438053,"status","","4c69410c-11ec-4ce5-88e7-005937261723","intelmq_event","network","Log4j URLHaus IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1639664925
"73ce53bd-c367-493b-9e84-2a570eb1f962",4131,"Other","text","CoinMiner,log4j,xmr","",0,1639438053,"comment","","4c69410c-11ec-4ce5-88e7-005937261723","intelmq_event","network","Log4j URLHaus IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""abuse.ch"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1639664925
